row_type	requirement_id	feedback_id	description	mapped_evidence_ids	exact_route_or_gap	implementation_artifact_or_source	decision_use_receipt	trace_status	gap_or_next_action
requirement	SR-011		時間holdoutで未来情報漏れを防ぎ、NOT_IDENTIFIABLEを無理に結論へ変えない	"[""SP103-EV-003"", ""SP103-EV-022"", ""SP103-EV-023"", ""SP103-EV-024"", ""SP103-EV-044"", ""SP103-EV-048""]"	SP103-EV-003; SP103-EV-022; SP103-EV-023; SP103-EV-024; SP103-EV-044; SP103-EV-048; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-012		統計材料が薄い選手でNPB+に追加価値があるかの翌年/未来予測研究はdiagnosticとして保持するが、年度査定の採否・重みの直接基準にはしない	"[""SP103-EV-048"", ""SP103-EV-057""]"	SP103-EV-048; SP103-EV-057; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-013		2026終了後のT-0203再実行はprojection/diagnostic研究として扱い、年度査定Gateの必須条件にはしない	"[""SP103-EV-050"", ""SP103-EV-058""]"	SP103-EV-050; SP103-EV-058; mapped evidence/gap is explicit; no silent completion claim	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	BOUNDED_GAP_OR_NEGATIVE_FINDING	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-014		ordinary SNS/Grok-XのPhysical Observation laneを再利用する	"[""SP103-EV-035"", ""SP103-EV-036""]"	SP103-EV-035; SP103-EV-036; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-015		旧Grok-Xでゲーム査定を理由に棄却した候補をRating Consensusとして再分類する	"[""SP103-EV-027"", ""SP103-EV-029"", ""SP103-EV-036""]"	SP103-EV-027; SP103-EV-029; SP103-EV-036; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-016		PowerPro公式YouTubeの能力紹介/updateコメントを体系的に収集・分類する	"[""SP103-EV-027"", ""SP103-EV-034"", ""SP103-EV-035""]"	SP103-EV-027; SP103-EV-034; SP103-EV-035; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-017		Prospi公式YouTubeの能力紹介コメントを体系的に収集・分類する	"[""SP103-EV-030"", ""SP103-EV-035""]"	SP103-EV-030; SP103-EV-035; mapped evidence/gap is explicit; no silent completion claim	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	BOUNDED_GAP_OR_NEGATIVE_FINDING	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-018		PowerPro/Prospi公式X能力紹介投稿への返信と査定批評を収集する	"[""SP103-EV-029"", ""SP103-EV-035"", ""SP103-EV-036""]"	SP103-EV-029; SP103-EV-035; SP103-EV-036; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-019		genericな俊足/鈍足等を0情報にせず弱い方向証拠として保持する	"[""SP103-EV-017"", ""SP103-EV-035"", ""SP103-EV-040""]"	SP103-EV-017; SP103-EV-035; SP103-EV-040; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-020		同一場面の多数反応は独立票として水増しせずreaction volumeを別保存する	"[""SP103-EV-035"", ""SP103-EV-036""]"	SP103-EV-035; SP103-EV-036; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-021		strict video tie-breakのnegative findingを保持し、取得失敗を証拠不存在と混同しない	"[""SP103-EV-034"", ""SP103-EV-035""]"	SP103-EV-034; SP103-EV-035; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-022		context video/加速印象を必要なら低重みレーンとして扱う	"[""SP103-EV-005"", ""SP103-EV-010"", ""SP103-EV-034"", ""SP103-EV-035""]"	SP103-EV-005; SP103-EV-010; SP103-EV-034; SP103-EV-035; mapped evidence/gap is explicit; no silent completion claim	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	BOUNDED_GAP_OR_NEGATIVE_FINDING	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-023		The Show longitudinal collectionを保持する	"[""SP103-EV-019"", ""SP103-EV-020"", ""SP103-EV-021"", ""SP103-EV-022"", ""SP103-EV-023"", ""SP103-EV-024"", ""SP103-EV-025"", ""SP103-EV-026""]"	SP103-EV-019; SP103-EV-020; SP103-EV-021; SP103-EV-022; SP103-EV-023; SP103-EV-024; SP103-EV-025; SP103-EV-026; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-024		The Show temporal responseがNOT_IDENTIFIABLEだったnegative findingを保持する	"[""SP103-EV-019"", ""SP103-EV-020"", ""SP103-EV-022"", ""SP103-EV-023""]"	SP103-EV-019; SP103-EV-020; SP103-EV-022; SP103-EV-023; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-025		The Show→PowerPro same-time bridgeをlinear/quantile/isotonic等で比較しholdout検証する	"[""SP103-EV-019"", ""SP103-EV-022"", ""SP103-EV-023"", ""SP103-EV-044"", ""SP103-EV-048""]"	SP103-EV-019; SP103-EV-022; SP103-EV-023; SP103-EV-044; SP103-EV-048; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-026		測定時点にPowerProがない助っ人へThe Show換算を適用し、low/high/confidenceを保存する	"[""SP103-EV-019"", ""SP103-EV-022"", ""SP103-EV-023"", ""SP103-EV-058""]"	SP103-EV-019; SP103-EV-022; SP103-EV-023; SP103-EV-058; mapped evidence/gap is explicit; no silent completion claim	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	BOUNDED_GAP_OR_NEGATIVE_FINDING	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-027		Prospi current走力を体系的に収集する	"[""SP103-EV-029""]"	SP103-EV-029; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-028		Prospi historical走力を体系的に収集する	"[""SP103-EV-029""]"	SP103-EV-029; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-029		PowerProとProspiの同時点乖離をstale QAへ使う	"[""SP103-EV-027"", ""SP103-EV-028"", ""SP103-EV-029""]"	SP103-EV-027; SP103-EV-028; SP103-EV-029; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-030		age/birthdateをPowerPro temporal分析へ結合する。取得不能ならBLOCKEDを明示する	"[""SP103-EV-038"", ""SP103-EV-050"", ""SP103-EV-058""]"	SP103-EV-038; SP103-EV-050; SP103-EV-058; mapped evidence/gap is explicit; no silent completion claim	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	BOUNDED_GAP_OR_NEGATIVE_FINDING	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-031		injury/recovery情報をtemporal/stale分析へ結合する。取得不能ならBLOCKEDを明示する	"[""SP103-EV-037"", ""SP103-EV-038"", ""SP103-EV-050"", ""SP103-EV-058""]"	SP103-EV-037; SP103-EV-038; SP103-EV-050; SP103-EV-058; mapped evidence/gap is explicit; no silent completion claim	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	BOUNDED_GAP_OR_NEGATIVE_FINDING	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-032		既存physical anchor bankをデータ資産として保持するが、NPB+ ordinal包装をfinal pairwiseと誤認しない	"[""SP103-EV-003"", ""SP103-EV-006"", ""SP103-EV-007"", ""SP103-EV-008"", ""SP103-EV-026""]"	SP103-EV-003; SP103-EV-006; SP103-EV-007; SP103-EV-008; SP103-EV-026; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-033		evidence-weighted pairwise/rangeを必要なケースで評価する	"[""SP103-EV-053"", ""SP103-EV-054"", ""SP103-EV-056""]"	SP103-EV-053; SP103-EV-054; SP103-EV-056; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-034		absolute 0-100 scale問題をrelative modelと分離する	"[""SP103-EV-063""]"	SP103-EV-063; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-035		PowerPro由来scale_calibrationを最終正本とせず由来を明示する	"[""SP103-EV-027"", ""SP103-EV-063""]"	SP103-EV-027; SP103-EV-063; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-036		能力値→自作エンジン走力効果の橋を実装後、absolute scaleをengine response/league distributionで校正する	"[""SP103-EV-064""]"	SP103-EV-064; mapped evidence/gap is explicit; no silent completion claim	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	BOUNDED_GAP_OR_NEGATIVE_FINDING	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-037		100人だけ別スケールにせず全ロースター/非100人との目盛り整合を検証する	"[""SP103-EV-066""]"	SP103-EV-066; mapped evidence/gap is explicit; no silent completion claim	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	BOUNDED_GAP_OR_NEGATIVE_FINDING	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-038		100人master tableにproject値・根拠・PowerPro current/history・差理由・confidenceを保存する	"[""SP103-EV-001"", ""SP103-EV-003"", ""SP103-EV-019"", ""SP103-EV-027""]"	SP103-EV-001; SP103-EV-003; SP103-EV-019; SP103-EV-027; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-039		owner review前にAI側でPROJECT_EVIDENCE_CONFLICTを可能な限り診断する	"[""SP103-EV-011"", ""SP103-EV-013"", ""SP103-EV-015"", ""SP103-EV-054""]"	SP103-EV-011; SP103-EV-013; SP103-EV-015; SP103-EV-054; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-040		PowerPro stale/odd判定は年数だけで断定せずtrajectory・current evidence・community・Prospiを統合する	"[""SP103-EV-028"", ""SP103-EV-037"", ""SP103-EV-038"", ""SP103-EV-050""]"	SP103-EV-028; SP103-EV-037; SP103-EV-038; SP103-EV-050; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-041		owner review queueはcommunity/Prospi/scale等の必須前工程後に再抽出する	"[""SP103-EV-034"", ""SP103-EV-035"", ""SP103-EV-054""]"	SP103-EV-034; SP103-EV-035; SP103-EV-054; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-042		owner verdictを正式データとして保存し後工程で上書きしないQAを持つ	"[""SP103-EV-054"", ""SP103-EV-055""]"	SP103-EV-054; SP103-EV-055; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-043		最終practical 100人査定を作り、物理/実用値・confidence・evidence provenanceを追跡する	"[""SP103-EV-001"", ""SP103-EV-003"", ""SP103-EV-011"", ""SP103-EV-019"", ""SP103-EV-044"", ""SP103-EV-054""]"	SP103-EV-001; SP103-EV-003; SP103-EV-011; SP103-EV-019; SP103-EV-044; SP103-EV-054; mapped evidence/route is explicit and direct promotion is prohibited	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	TRACED_IMPLEMENTATION_OR_CONTEXT	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-044		custom engine/simulationで走力関連のリーグ分布をQAする	"[""SP103-EV-064"", ""SP103-EV-065""]"	SP103-EV-064; SP103-EV-065; mapped evidence/gap is explicit; no silent completion claim	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	BOUNDED_GAP_OR_NEGATIVE_FINDING	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-045		Speed Gateを全必須子タスク完了前に閉じない	"[""SP103-EV-063"", ""SP103-EV-064"", ""SP103-EV-065"", ""SP103-EV-066""]"	SP103-EV-063; SP103-EV-064; SP103-EV-065; SP103-EV-066; registry/QA lock is explicit; downstream final appraisal remains gate-blocked	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	GOVERNANCE_LOCK_MEASURED	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-046		Speed Gateとowner approval完了まで肩力へ進まない	"[""SP103-EV-064"", ""SP103-EV-065"", ""SP103-EV-066""]"	SP103-EV-064; SP103-EV-065; SP103-EV-066; registry/QA lock is explicit; downstream final appraisal remains gate-blocked	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	GOVERNANCE_LOCK_MEASURED	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-047		全重要知見・negative finding・欠損をGitHubへ保存しfinal-chat-only knowledgeを0にする	"[""SP103-EV-009"", ""SP103-EV-010"", ""SP103-EV-034"", ""SP103-EV-035"", ""SP103-EV-058""]"	SP103-EV-009; SP103-EV-010; SP103-EV-034; SP103-EV-035; SP103-EV-058; mapped evidence/gap is explicit; no silent completion claim	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	BOUNDED_GAP_OR_NEGATIVE_FINDING	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-048		新handoff作成時に旧未完要件が黙って消えないよう機械検査する	"[""SP103-EV-063"", ""SP103-EV-064"", ""SP103-EV-065"", ""SP103-EV-066""]"	SP103-EV-063; SP103-EV-064; SP103-EV-065; SP103-EV-066; registry/QA lock is explicit; downstream final appraisal remains gate-blocked	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	GOVERNANCE_LOCK_MEASURED	retain explicit gap/negative finding and rerun independent QA before SP-079
requirement	SR-049		CURRENTを名乗る入口文書を1つのtask registryへ収束させ、古い正本への誘導を禁止する	"[""SP103-EV-063""]"	SP103-EV-063; registry/QA lock is explicit; downstream final appraisal remains gate-blocked	outputs/derived/sp103_speed_evidence_universe.tsv;outputs/derived/sp103_inference_method_universe.json;docs/state/speed_task_registry.tsv	SP-103 universe classification; not final player rating; downstream use remains gate-controlled	GOVERNANCE_LOCK_MEASURED	retain explicit gap/negative finding and rerun independent QA before SP-079
