candidate_number	evidence_id	family	item	construct	status	source_authority	source_or_metric	source_url_or_repo_artifact	current_local_asset	coverage_denominator	existing_requirement_ids	existing_sp_routes	evidence_role	independence_or_double_count_risk	known_bias_or_confounding	validation_needed	next_action	implementation_status	decision_use_status	direct_numeric_promotion_allowed
23	SP103-EV-023	cross_game_transition	MLB→NPB foreign-player transitions	league_transition_context	IMPLEMENTED_INCOMPLETE	SP-101 transition panel	MLB→NPB foreign-player transitions	[]	outputs/derived/sp101_npb_mlb_transition_segments.csv	"{""transition_rows"": 80}"	"[""SR-011"", ""SR-023"", ""SR-024"", ""SR-060""]"	"[""SP-101"", ""MB-05""]"	transition/eligibility context	same player appears in multiple source systems and editions	selection, league and time gaps are material	report cohort denominator and missingness separately	SP101_IMPLEMENTED_BOUNDED_CONTEXT	IMPLEMENTED_INCOMPLETE	"[""outputs/derived/sp101_npb_mlb_transition_segments.csv""]"	False
24	SP103-EV-024	cross_game_transition	NPB→MLB→NPB returnees	returnee_temporal_context	IMPLEMENTED_INCOMPLETE	SP-101 transition panel and returnee route	NPB→MLB→NPB returnees	[]	outputs/derived/sp101_npb_mlb_transition_segments.csv;outputs/derived/sp101_transition_effects.json	"{""transition_rows"": 80}"	"[""SR-011"", ""SR-023"", ""SR-024"", ""SR-054""]"	"[""SP-101"", ""MB-10""]"	returnee context/negative-control cohort	same player has correlated repeated observations	return-to-league selection and injury/time gap	synthetic-control design with pre-period holdout and uncertainty	SP101_IMPLEMENTED_BOUNDED_CONTEXT	IMPLEMENTED_INCOMPLETE	"[""outputs/derived/sp101_transition_effects.json""]"	False
25	SP103-EV-025	cross_game_transition	multi-cycle MLB/NPB players	multi_cycle_temporal_context	IMPLEMENTED_INCOMPLETE	SP-101 transition panel	multi-cycle MLB/NPB players	[]	outputs/derived/sp101_npb_mlb_transition_segments.csv	"{""transition_rows"": 80}"	"[""SR-011"", ""SR-023"", ""SR-024"", ""SR-054""]"	"[""SP-101"", ""MB-04"", ""MB-05""]"	multi-cycle context	repeated cycles are not independent evidence rows	temporal and selection confounding	cluster by player and retain cycle-specific gaps	SP101_IMPLEMENTED_BOUNDED_CONTEXT	IMPLEMENTED_INCOMPLETE	"[""outputs/derived/sp101_npb_mlb_transition_segments.csv""]"	False
26	SP103-EV-026	cross_game_transition	historical NPB players with The Show data outside current 100	historical_anchor_context	IMPLEMENTED_INCOMPLETE	SP-101 historical panel	historical NPB players with The Show data outside current 100	[]	outputs/derived/sp101_historical_npb_the_show_calibration_panel.csv;data/pennant.db:the_show_bridge	"{""bridge_rows"": 47, ""panel_rows"": 156}"	"[""SR-023"", ""SR-024"", ""SR-032"", ""SR-060""]"	"[""SP-101"", ""MB-01"", ""MB-08""]"	historical context/anchor candidate	same identity may occur in bridge, game rating and MLB physical tables	historical cohort and temporal gap limit directness	use only as bounded context or physical-anchored analog with support checks	SP101_HISTORICAL_CONTEXT_NOT_FINAL_NUMERIC	IMPLEMENTED_INCOMPLETE	"[""outputs/derived/sp101_historical_npb_the_show_calibration_panel.csv""]"	False
27	SP103-EV-027	external_game	PowerPro current value	external_appraisal_context	IMPLEMENTED_INCOMPLETE	local PowerPro panel and owner ruling	PowerPro current value	[]	data/pennant.db:pawapuro_full;outputs/derived/sp100_npb_raw_latent_speed.json	"{""rows"": 3229}"	"[""SR-005"", ""SR-007"", ""SR-010"", ""SR-061""]"	"[""SP-100"", ""SP-101"", ""MB-06""]"	appraisal context only	using PowerPro as teacher creates circularity and label copying	editorial/game scale is not physical speed	retain current label for comparison/QA, excluded from physical teacher path	POWERPRO_CONTEXT_ONLY	IMPLEMENTED_INCOMPLETE	"[""data/pennant.db"", ""docs/audits/sp100_owner_decision_20260816.md""]"	False
28	SP103-EV-028	external_game	PowerPro longitudinal trajectory / inertia / stale detection	temporal_appraisal_context	IMPLEMENTED_INCOMPLETE	local PowerPro panel and SP-101 temporal route	PowerPro longitudinal trajectory / inertia / stale detection	[]	data/pennant.db:pawapuro_full;outputs/derived/sp101_powerpro_the_show_temporal_pairs.csv	"{""powerpro_rows"": 3229, ""temporal_pairs"": 13}"	"[""SR-005"", ""SR-006"", ""SR-007"", ""SR-040""]"	"[""SP-101"", ""MB-06"", ""MB-11""]"	stale/odd diagnostic context	trajectory fields share source/editorial inertia	age/injury/current physical evidence must be joined before stale claim	use separate diagnostic lane and preserve uncertainty	POWERPRO_CONTEXT_ONLY_NOT_FINAL_NUMERIC	IMPLEMENTED_INCOMPLETE	"[""outputs/derived/sp101_powerpro_the_show_temporal_pairs.csv""]"	False
29	SP103-EV-029	external_game	Prospi A raw data retained under owner ruling	external_appraisal_context	IMPLEMENTED_INCOMPLETE	local Prospi A artifacts and owner ruling	Prospi A raw data retained under owner ruling	[]	outputs/derived/speed_prospi_gamex_current_20260813_run2.csv;outputs/derived/speed_prospi_gamex_current_20260813_run3.csv;outputs/derived/speed_community_v3_prospi_remainder_inventory_20260815.csv	"{""candidate_asset_bytes"": 244318}"	"[""SR-027"", ""SR-028"", ""SR-029"", ""SR-059""]"	"[""SP-101""]"	raw/context only; not independent PowerPro teacher	same game-editorial scale and possible duplicate source families	Prospi A is explicitly not accepted for PowerPro stale/odd QA	preserve raw and ruling; no silent promotion	OWNER_RULING_CONTEXT_ONLY	IMPLEMENTED_INCOMPLETE	"[""outputs/derived/speed_prospi_gamex_current_20260813_run2.csv"", ""outputs/derived/speed_prospi_gamex_current_20260813_run3.csv"", ""outputs/derived/speed_community_v3_prospi_remainder_inventory_20260815.csv""]"	False
30	SP103-EV-030	external_game	console Prospi non-collection	external_appraisal_context	SCOPED_REJECTED	owner ruling SR-059	console Prospi non-collection	[]	docs/state/speed_requirements_baseline_20260813.tsv	"{""collected_console_rows"": 0}"	"[""SR-027"", ""SR-028"", ""SR-029"", ""SR-059""]"	"[""SP-101""]"	explicit non-collection	console Prospi is expected to be near-duplicate of PowerPro and not independent	collecting it would expand scope without independent information	reopen only if a new source proves independent construct/provenance	OWNER_RULING_SCOPED_REJECTED	SCOPED_REJECTED	"[""docs/state/speed_requirements_baseline_20260813.tsv""]"	False
31	SP103-EV-031	human_context	official scouting reports	scouting_directional_context	IMPLEMENTED_INCOMPLETE	official scouting inventory with broad sweep	official scouting reports	[]	outputs/derived/sp060_scouting_inventory_20260814.json	"{""inventory_bytes"": 9408, ""records"": 2}"	"[""SR-031"", ""SR-032"", ""SR-052"", ""SR-055""]"	"[""SP-060"", ""MB-12""]"	dated directional context	scouting grades and prose may share evaluator/source lineage	coverage is sparse and age/role/year dependent	preserve source year/age and use only low-weight/context lane	COLLECTED_BOUNDED_SCOUTING_CONTEXT	IMPLEMENTED_INCOMPLETE	"[""outputs/derived/sp060_scouting_inventory_20260814.json""]"	False
32	SP103-EV-032	human_context	draft / amateur timed-test reporting	historical_short_distance_context	COLLECTED_BUT_UNUSED	repository physical measurement corpus and scouting search	draft / amateur timed-test reporting	[]	data/normalized/speed_historical_physical_measurements_2015_2026.json;data/manual/sprint_30m_measurements_curated.json	"{""protocol_uncertain_records"": 0, ""related_records"": 0}"	"[""SR-004"", ""SR-008"", ""SR-055"", ""SR-056""]"	"[""SP-017"", ""MB-12""]"	historical range/context	may duplicate 30m/50m profile measurements	amateur timing protocol, age and selection effects	retain interval and protocol flags; no universal conversion	COLLECTED_BUT_UNUSED_OR_DUPLICATE_CONTROL	COLLECTED_BUT_UNUSED	"[""data/normalized/speed_historical_physical_measurements_2015_2026.json""]"	False
33	SP103-EV-033	human_context	pinch-runner usage	role_and_technique_context	IMPLEMENTED_INCOMPLETE	SP-061 local sweep	pinch-runner usage	[]	outputs/derived/sp061_pinch_runner_weak_context_20260814.json	"{""rows"": 65, ""unique_rows"": 29}"	"[""SR-002"", ""SR-052"", ""SR-055"", ""SR-058""]"	"[""SP-061"", ""MB-13""]"	weak role context; not direct speed	pinch-runner, steal and advance decisions overlap technique/opportunity	manager usage, roster role, score and injury confound	preserve weak directional context and never use as physical teacher	BOUNDED_WEAK_CONTEXT_NOT_DIRECT_SPEED	IMPLEMENTED_INCOMPLETE	"[""outputs/derived/sp061_pinch_runner_weak_context_20260814.json""]"	False
34	SP103-EV-034	human_context	video-frame timing / narration	visual_acceleration_context	IMPLEMENTED_INCOMPLETE	existing video inventories plus SP-102 measured negative	video-frame timing / narration	[]	outputs/derived/sp102_coverage_qa.json;outputs/derived/sp102_target_post_rescue_summary.json;outputs/derived/speed_2026_video_tiebreak_sources.json	"{""existing_asset_bytes"": 0, ""sp102_usable_rows"": 0}"	"[""SR-021"", ""SR-022"", ""SR-047"", ""SR-055"", ""SR-058""]"	"[""SP-039"", ""SP-102"", ""MB-14""]"	strict video/context lane	same clip/comment origin must be clustered	camera angle, frame boundaries and narration subjective; SP-102 fetch failures are not evidence absence	retain negative finding and any future timed row with frame/provenance receipt	SP102_MEASURED_NEGATIVE_BOUNDED_ACQUISITION	IMPLEMENTED_INCOMPLETE	"[""outputs/derived/qa_sp102_targeted_video_comment_rescue.json"", ""docs/audits/sp102_targeted_video_comment_rescue_20260818.md""]"	False
35	SP103-EV-035	human_context	ordinary web / X / YouTube physical observations	directional_observation_context	IMPLEMENTED_INCOMPLETE	community/social source inventories	ordinary web / X / YouTube physical observations	[]	data/normalized/speed_2026_sns_consensus_sources_v2.json;outputs/derived/speed_community_v3_consensus_20260815.json;outputs/derived/speed_community_v3_youtube_semantic_classified_20260814.jsonl	"{""source_bytes"": 11330816}"	"[""SR-014"", ""SR-016"", ""SR-018"", ""SR-019"", ""SR-020"", ""SR-022""]"	"[""SP-032"", ""SP-036"", ""SP-037"", ""SP-102""]"	weak directional physical observation	same event/reaction volume is not independent evidence	source reliability, identity and timing are heterogeneous	cluster origin, cap reaction volume and keep confidence/range	COLLECTED_BOUNDED_CONTEXT_NO_DIRECT_PROMOTION	IMPLEMENTED_INCOMPLETE	"[""data/normalized/speed_2026_sns_consensus_sources_v2.json"", ""outputs/derived/speed_community_v3_consensus_20260815.json"", ""outputs/derived/speed_community_v3_youtube_semantic_classified_20260814.jsonl""]"	False
