player,player_id,team,gpt_codex_rating,gpt_codex_low,gpt_codex_high,gpt_codex_confidence,gpt_codex_decision_class,gpt_codex_short_rationale,existing_production_model_rating,existing_production_model_basis,existing_production_model_status,npb_plus_sprint_kmh,exposure_games,exposure_pa,direct_t90_summary,standardized_30m_50m_summary,home_to_first_summary,historical_physical_summary,physical_evidence_strength,sns_physical_classification,sns_physical_summary,video_classification,powerpro_current_speed,powerpro_match_status,powerpro_history_summary,powerpro_change_points,powerpro_years_since_material_change,project_minus_powerpro,abs_project_powerpro_diff,large_diff_ge_5,discrepancy_direction,discrepancy_reason_class,discrepancy_reason_explanation_ja,discrepancy_reason_confidence,powerpro_stale_suspected,powerpro_stale_reason,project_top_speed_overweight_suspected,project_acceleration_missing_suspected,historical_evidence_conflict,current_exposure_risk,owner_review_required,owner_review_reasons,owner_verdict,owner_note,owner_preferred_rating_optional
土田 龍空,51455153,中日ドラゴンズ,62,52,72,LOW,UNCHANGED_AFTER_FULL_REAPPRAISAL_MIXED_BAND_WIDENED,2026 NPB+ 31.2km/hの同一100人内順位を現行中心として明示affirm。異metricまたはSNS混在は点を平均せず、レンジ拡大で表現。targeted physical / X / videoでは現行方向を追加解決できず、不確実性に反映。動画はusable current full-effort play=0で、数値入力にしていない。,83.7,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を2年プール（2022,2023）。NPB+の自動blendなし・較正あり",REPRODUCED,31.2,38,43,,,,計測1件,NONE,MIXED_CONSENSUS,採用10件: faster×4 / current×2 / slower×4,VIDEO_INCONCLUSIVE,66,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2021:62 → 2022:64 → 2025:66,3,1,-4,4,false,POWERPRO_HIGHER,LOW_EXPOSURE_NPBPLUS_RISK|SNS_SUPPORTS_POWERPRO_DIRECTION,2026年の出場が38試合と少なく、NPB+が最高速度を観測しきれていない可能性／SNSで「速い」方向の独立投稿が4件,,false,,false,false,false,true,true,project側のconfidenceがLOW,,,
大島 洋平,01305131,中日ドラゴンズ,66,59,73,LOW_MEDIUM,AFFIRMED_CURRENT_ORDINAL_WITH_UNRESOLVED_TARGETED_GAP,2026 NPB+ 31.7km/hの同一100人内順位を現行中心として明示affirm。targeted physical / X / videoでは現行方向を追加解決できず、不確実性に反映。動画はusable current full-effort play=0で、数値入力にしていない。,76.8,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を3年プール（2022,2023,2024）。NPB+の自動blendなし・較正あり",REPRODUCED,31.7,21,66,,,HP_TO_1B_SECONDS=3.96seconds(2007/unknown),計測3件,NONE,INSUFFICIENT_SNS_EVIDENCE,採用3件: current×3,VIDEO_INCONCLUSIVE,74,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2013:87 → 2020:83 → 2022:80 → 2023:77 → 2024:74,5,2,-8,8,true,POWERPRO_HIGHER,LOW_EXPOSURE_NPBPLUS_RISK,2026年の出場が21試合と少なく、NPB+が最高速度を観測しきれていない可能性,LOW,false,,false,true,false,true,true,PowerProとの差-8,,,
岡林 勇希,81585151,中日ドラゴンズ,74,67,81,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 32.5km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,86.8,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2022,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,32.5,54,235,,50M_PROFILE_SECONDS=5.8seconds(2019/unknown),,計測2件,HISTORICAL_SHORT_DISTANCE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,81,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2020:78 → 2022:81,2,4,-7,7,true,POWERPRO_HIGHER,HISTORICAL_PHYSICAL_SUPPORTS_POWERPRO,過去の身体計測がPowerProの高い評価と同じ向きを示す: 50M_PROFILE_SECONDS=5.8seconds(2019/unknown),LOW,false,,false,true,false,false,true,PowerProとの差-7,,,
木下 拓哉,31735132,中日ドラゴンズ,46,41,51,MEDIUM,AFFIRMED_CURRENT_ORDINAL_WITH_SNS_SUPPORT,2026 NPB+ 29.4km/hの同一100人内順位を現行中心として明示affirm。独立SNSは現行bandの支持にのみ用い、点数加算はしない。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,52.2,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2022,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,29.4,21,63,,,,計測1件,NONE,SUPPORTS_CURRENT_ORDINAL,採用11件: slower×11,NOT_IN_VIDEO_TIEBREAK_SCOPE,39,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2016:45 → 2021:39,2,5,7,7,true,PROJECT_HIGHER,LOW_EXPOSURE_NPBPLUS_RISK|POWERPRO_STALE_LOW_SUSPECTED|SNS_SUPPORTS_PROJECT_DIRECTION,2026年の出場が21試合と少なく、NPB+が最高速度を観測しきれていない可能性／PowerProが低いまま据え置かれている疑い／SNSで「遅い」方向の独立投稿が11件,MEDIUM,true,最後の変更が2021年（5年前）で、以降4年分の観測がありながら動いていない／SNSに方向の揃った独立投稿が複数,true,false,false,true,true,PowerProとの差+7／PowerPro据え置きの疑い,,,
村松 開人,03105157,中日ドラゴンズ,82,75,89,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 33.4km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,75.6,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を3年プール（2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,33.4,99,413,,50M_STANDING_START_SECONDS=5.91seconds(2021/photoelectric_claim_conflicted),,計測2件,HISTORICAL_SHORT_DISTANCE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,80,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2023:78 → 2025:80,2,1,2,2,false,PROJECT_HIGHER,,,,false,,false,false,false,false,false,,,,
板山 祐太郎,91395132,中日ドラゴンズ,69,62,76,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 32.0km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,75.3,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を2年プール（2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,32,67,182,,,,計測1件,NONE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,72,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2016:72,1,10,-3,3,false,POWERPRO_HIGHER,,,,false,,false,false,false,false,false,,,,
田中 幹也,21025157,中日ドラゴンズ,83,76,90,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 33.5km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,79.9,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を2年プール（2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,33.5,73,247,,50M_PROFILE_SECONDS=5.9seconds(unknown/unknown),,計測2件,HISTORICAL_SHORT_DISTANCE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,83,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2023:83,1,3,0,0,false,EQUAL,,,,false,,false,false,false,false,false,,,,
石川 昂弥,91195151,中日ドラゴンズ,57,50,64,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 30.6km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,53.5,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を3年プール（2022,2023,2024）。NPB+の自動blendなし・較正あり",REPRODUCED,30.6,64,236,,,,計測1件,NONE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,41,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2020:55 → 2023:41,2,3,16,16,true,PROJECT_HIGHER,NO_CLEAR_CAUSE,利用可能な証拠（身体計測・SNS・出場量・PowerPro推移）のいずれもこの差の向きを支持していない,NONE,false,,true,false,false,false,true,PowerProとの差+16,,,
福永 裕基,81685157,中日ドラゴンズ,78,71,85,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 33.0km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,82.5,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を2年プール（2023,2024）。NPB+の自動blendなし・較正あり",REPRODUCED,33,73,256,,,,計測1件,NONE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,64,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2023:64,1,3,14,14,true,PROJECT_HIGHER,NO_CLEAR_CAUSE,利用可能な証拠（身体計測・SNS・出場量・PowerPro推移）のいずれもこの差の向きを支持していない,NONE,false,,true,false,false,false,true,PowerProとの差+14,,,
細川 成也,31835134,中日ドラゴンズ,75,68,82,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 32.7km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,56.2,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を3年プール（2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,32.7,102,429,,"50M_PROFILE_SECONDS=6.2seconds(unknown/unknown) , 50m=6.2seconds(年不明/scouting_profile_protocol_unspecified)",,計測3件,HISTORICAL_SHORT_DISTANCE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,60,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2017:60,1,9,15,15,true,PROJECT_HIGHER,POWERPRO_STALE_LOW_SUSPECTED,PowerProが低いまま据え置かれている疑い,LOW,true,最後の変更が2017年（9年前）で、以降4年分の観測がありながら動いていない／現在の査定と15点乖離,true,false,false,false,true,PowerProとの差+15／PowerPro据え置きの疑い,,,
高橋 周平,91095135,中日ドラゴンズ,47,40,54,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 29.5km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,51.9,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2022,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,29.5,48,102,,,,計測1件,NONE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,46,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2013:50 → 2018:54 → 2019:46,3,7,1,1,false,PROJECT_HIGHER,,,,false,,false,false,false,false,false,,,,
奈良間 大己,31435157,北海道日本ハムファイターズ,66,59,73,LOW_MEDIUM,AFFIRMED_CURRENT_ORDINAL_WITH_UNRESOLVED_TARGETED_GAP,2026 NPB+ 31.7km/hの同一100人内順位を現行中心として明示affirm。targeted physical / X / videoでは現行方向を追加解決できず、不確実性に反映。動画はusable current full-effort play=0で、数値入力にしていない。,69.4,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を3年プール（2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,31.7,84,192,,"50M_STANDING_START_SECONDS=6.31seconds(2022/electronic_photoelectric) , 50M_PROFILE_SECONDS=6.31seconds(2022/electronic_photoelectric) , 50M_PROFILE_SECONDS=5.8seconds(unknown/unknown)",,計測4件,STANDARDIZED_SHORT_DISTANCE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,VIDEO_INCONCLUSIVE,64,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2023:64,1,3,2,2,false,PROJECT_HIGHER,,,,false,,false,false,false,false,false,,,,
水野 達稀,63165155,北海道日本ハムファイターズ,82,75,89,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 33.4km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,86.5,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を2年プール（2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,33.4,98,409,,,,計測1件,NONE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,71,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2022:68 → 2024:71,2,2,11,11,true,PROJECT_HIGHER,NO_CLEAR_CAUSE,利用可能な証拠（身体計測・SNS・出場量・PowerPro推移）のいずれもこの差の向きを支持していない,NONE,false,,true,false,false,false,true,PowerProとの差+11,,,
清宮 幸太郎,41545136,北海道日本ハムファイターズ,66,59,73,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 31.7km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,60.8,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を4年プール（2022,2023,2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,31.7,97,363,,50M_PROFILE_SECONDS=6.5seconds(unknown/unknown),,計測2件,HISTORICAL_SHORT_DISTANCE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,56,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2018:45 → 2022:56,2,4,10,10,true,PROJECT_HIGHER,POWERPRO_STALE_LOW_SUSPECTED,PowerProが低いまま据え置かれている疑い,LOW,true,最後の変更が2022年（4年前）で、以降4年分の観測がありながら動いていない／現在の査定と10点乖離,true,false,false,false,true,PowerProとの差+10／PowerPro据え置きの疑い,,,
田宮 裕涼,51055138,北海道日本ハムファイターズ,73,66,80,LOW_MEDIUM,UNCHANGED_AFTER_FULL_REAPPRAISAL,2026 NPB+ 32.4km/hの同一100人内順位を現行中心として明示affirm。個人別の比較可能な現行加速計測が公開されないため、NPB+公開sample不明をレンジに反映。,66.3,"実プレー結果（三塁打割合・併殺回避・内野安打・進塁・UBR）を2年プール（2024,2025）。NPB+の自動blendなし・較正あり",REPRODUCED,32.4,74,236,,,,計測2件,NONE,NOT_IN_SNS_TIEBREAK_SCOPE,採用証拠なし,NOT_IN_VIDEO_TIEBREAK_SCOPE,68,EXACT_TEAM_NORMALIZED_ROSTER_NAME_UNIQUE,2019:61 → 2024:68,2,2,5,5,true,PROJECT_HIGHER,NO_CLEAR_CAUSE,利用可能な証拠（身体計測・SNS・出場量・PowerPro推移）のいずれもこの差の向きを支持していない,NONE,false,,true,false,false,false,true,PowerProとの差+5,,,
