order	player	team	powerpro_current	proposed_verdict	batch	strength	confidence	reason_code	preferred_rating_optional	capture_ready	rationale
41	源田 壮亮	埼玉西武ライオンズ	80	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	HIGH	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
42	滝澤 夏央	埼玉西武ライオンズ	85	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
43	石井 一成	埼玉西武ライオンズ	79	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
44	ファビアン	広島東洋カープ	61	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
45	モンテロ	広島東洋カープ	49	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
46	名原 典彦	広島東洋カープ		UNRESOLVED	A_BULK_COMPATIBLE_OR_NO_TARGET	NO_CURRENT_POWERPRO_TARGET	HIGH	NO_CURRENT_POWERPRO_TARGET		false	No current PowerPro comparison target exists. Physical evidence remains available for later SP-079 appraisal, but no PowerPro high/low verdict can be made.
47	坂倉 将吾	広島東洋カープ	68	POWERPRO_TOO_HIGH_OR_STALE	B_DIRECTIONAL_REVIEW	MULTI_SOURCE_DIRECTIONAL_CONCERN	MEDIUM	CURRENT_PEAK_50M_S_AND_GAME_CONTEXT_ALL_LEAN_LOW		false	Current peak, unknown-date 50m, S and game context consistently lean low. The 50m record is one nonpeak measurement family and must not be double-counted as two independent physical dimensions; the conclusion remains a supported concern, not STRONG_MULTI_PHYSICAL.
48	小園 海斗	広島東洋カープ	79	UNRESOLVED	C_MATERIAL_CONFLICT	CURRENT_VS_OLD_H2F_AND_CONTEXT_CONFLICT	MEDIUM	CURRENT_PEAK_AND_OLD_H2F_LEAN_LOW_WHILE_CURRENT_S_GAME_CONTEXT_LEANS_HIGH		false	Current peak is near average and 2016 H2F is slow, but current S/game context is positive. The old H2F is one measurement family, not two independent physical dimensions; the prior STRONG_TOO_HIGH screen is withdrawn.
49	矢野 雅哉	広島東洋カープ	78	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	LOW_EXPOSURE_PEAK_COUNTERBALANCED_BY_50M_S_AND_GAME_CONTEXT	MEDIUM	CURRENT_PEAK_UNDEREXPOSED_WHILE_SHORT_DISTANCE_AND_CONTEXT_SUPPORT_FAST_PROFILE		false	Peak speed is low in only 15 proxy opportunities and may be understated. 50m, S and game context all support a fast profile, so PP78 remains plausible. Weak/unknown-date evidence is discounted, not discarded.
50	秋山 翔吾	広島東洋カープ	73	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
51	菊池 涼介	広島東洋カープ	72	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
52	野間 峻祥	広島東洋カープ	88	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
53	サンタナ	東京ヤクルトスワローズ	47	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
54	並木 秀尊	東京ヤクルトスワローズ	97	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
55	中村 悠平	東京ヤクルトスワローズ	56	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	MEDIUM	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
56	丸山 和郁	東京ヤクルトスワローズ	86	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
57	古賀 優大	東京ヤクルトスワローズ	46	UNRESOLVED	C_MATERIAL_CONFLICT	CURRENT_PEAK_VS_CONTEXT_CONFLICT	MEDIUM	PEAK_SPEED_AND_GAME_CONTEXT_DISAGREE_WITH_NO_ACCELERATION_OR_END_TO_END_MEASUREMENT		false	Current peak speed is above average, but S and all mixed-game components are strongly low. With no H2F/T30/T90/30m/50m lane, neither side may replace the whole construct. The prior TOO_LOW screen was peak-led.
58	塩見 泰隆	東京ヤクルトスワローズ	83	POWERPRO_TOO_HIGH_OR_STALE	B_DIRECTIONAL_REVIEW	STRONG_MULTI_LANE	MEDIUM	CURRENT_DECLINE_OBSERVATIONS_AND_POOR_H2F_OVERRIDE_DECENT_PEAK_ONLY_VIEW		false	Peak speed remains respectable but underexposed. H2F is poor, S has zero reliability/PA, and several current 2026 physical observations describe injury/age-related decline. This is the clearest high/stale case across distinct evidence lanes.
59	岩田 幸宏	東京ヤクルトスワローズ	96	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
60	長岡 秀樹	東京ヤクルトスワローズ	58	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
61	太田 光	東北楽天ゴールデンイーグルス	44	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
62	村林 一輝	東北楽天ゴールデンイーグルス	69	POWERPRO_TOO_LOW	B_DIRECTIONAL_REVIEW	CURRENT_PEAK_PLUS_CONTEXT_SUPPORTED_CONCERN	MEDIUM	EXTREME_CURRENT_PEAK_WITH_POSITIVE_S_AND_GAME_CONTEXT		false	Current peak is extreme and adequately exposed, with S and game context in the same direction. Older nonpeak context is retained but weak and does not erase the current signal. PP69 warrants a medium-confidence low concern, not a final numerical rating.
63	浅村 栄斗	東北楽天ゴールデンイーグルス	35	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
64	渡邊 佳明	東北楽天ゴールデンイーグルス	50	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
65	鈴木 大地	東北楽天ゴールデンイーグルス	49	POWERPRO_PLAUSIBLE	A_BULK_COMPATIBLE_OR_NO_TARGET	COMPATIBLE_NOT_EXACTLY_VALIDATED	LOW	POWERPRO_INSIDE_OR_NEAR_INTEGRATED_EVIDENCE_RANGE		false	All retained evidence and uncertainty were reviewed through the full-construct screen. No material contradiction requires a directional PowerPro verdict. This is compatibility, not exact numerical validation.
