source_id,player,team,source_platform,source_class,author_account,source_title,source_url,post_date,post_date_precision,retrieved_at,language,source_year,observation_period,exact_observation_subject,quote_excerpt,paraphrased_claim,directness,independence_group,evidence_strength,supports_faster_current_slower_mixed,temporal_relevance,physical_speed_only,is_repost,is_syndicated_copy,acceptance_status,exclusion_reason
SNSR011,木下 拓哉,中日ドラゴンズ,PUBLIC_WEB_POST,SNS,multiple public live commenters,Public live comments on one running play,https://blog.livedoor.jp/bbyakyu/ryusoku/dragons/63029444.html,2026-03-01,DAY,2026-08-10,ja,2026,same-day game,木下 拓哉,足遅すぎる,Multiple commenters on one event call Kinoshita slow; the event remains one origin group.,contemporaneous_qualitative_speed_observation,KINOSHITA_20260301_SINGLE_RUN_EVENT,moderate_single_event,slower,current_2026,true,false,false,ACCEPTED,
SNSR012,木下 拓哉,中日ドラゴンズ,PUBLIC_WEB_POST,REJECTED_CANDIDATE,Yahoo real-time AI summary,AI aggregated social summary,https://search.yahoo.co.jp/realtime/search/matome/40a1c7558ec745d983fc26a2ae48691c-1774952700,2026-03-31,DAY,2026-08-10,ja,2026,2026 March,木下 拓哉,足遅すぎだろ,An aggregation has no resolved original author or direct post context.,unresolved_aggregation,YAHOO_AI_SUMMARY_KINOSHITA_20260331,unusable,slower,current_2026,false,true,false,REJECTED,ORIGINAL_AUTHOR_AND_CONTEXT_NOT_RESOLVED
SNSR013,友杉 篤輝,千葉ロッテマリーンズ,X_TWITTER,REJECTED_CANDIDATE,@chance26217114,Yahoo indexed X post on same event,https://search.yahoo.co.jp/realtime/search?ei=UTF-8&mtype=video&p=%23%E5%8F%8B%E6%9D%89%E7%AF%A4%E8%BC%9D&rkf=1,2026-05-30,DAY,2026-08-10,ja,2026,same 2026-05-30 play,友杉 篤輝,2塁超えてからの加速がやばい,A second post comments on acceleration in the same identified video event.,same_event_comment,TOMOSUGI_20260530_HOME_RUN_EVENT,moderate_but_not_independent,current,current_2026,false,true,false,REJECTED,SAME_IDENTIFIED_PLAY_AND_VIDEO_ORIGIN_AS_ACCEPTED_SOURCE
SNSR014,友杉 篤輝,千葉ロッテマリーンズ,PUBLIC_WEB_POST,REJECTED_CANDIDATE,侍ジャパン,University national-team candidate camp record,https://www.japan-baseball.jp/jp/news/press/20220619_1.html,2022-06-19,DAY,2026-08-10,ja,2022,2022 university measurement,友杉 篤輝 and 林 琢真,historical 50m measurement context,Historical short-distance measurement is retained only as construct-conflict context and is not numerically bridged to current NPB+ ordinal.,historical_measurement_context,JBA_20220619_HISTORICAL_MEASUREMENT,strong_historical_but_construct_mismatch,not_directional,historical_construct_context_2022,false,false,false,REJECTED,HISTORICAL_MEASUREMENT_CANNOT_BE_NUMERICALLY_CONVERTED_OR_USED_AS_CURRENT_ORDINAL_TIEBREAK
SNSR015,友杉 篤輝,千葉ロッテマリーンズ,X_TWITTER,REJECTED_CANDIDATE,@baseballlive_JP,Baseball LIVE official post,https://x.com/baseballlive_JP/status/2060614669350601191,2026-05-30,DAY,2026-08-10,ja,2026,2026-05-30 Lotte versus Hanshin,友杉 篤輝,快足が生んだ1点,An official post directly describes Tomosugi's run to home as fast.,qualitative_observation_of_running,TOMOSUGI_20260530_HOME_RUN_EVENT,moderate,current,current_2026,false,false,false,REJECTED,SINGLE_GAME_HOME_RUN_DESCRIPTION_CANNOT_ISOLATE_PHYSICAL_SPEED_FROM_BASERUNNING_AND_PLAY_CONTEXT
SNSR016,岡 大海,千葉ロッテマリーンズ,X_TWITTER,REJECTED_CANDIDATE,@chibalotte,Chiba Lotte official post,https://x.com/chibalotte/status/1916365328457863417,2025-04-27,DAY,2026-08-10,ja,2025,same-day game,岡 大海,快足を飛ばしホームイン,The team account explicitly characterizes Oka's current run to home as fast.,qualitative_observation_of_running,OKA_20250427_HOMEIN,moderate,current,current_2025,false,false,false,REJECTED,HOME_IN_RUNNING_DESCRIPTION_CANNOT_ISOLATE_PHYSICAL_SPEED_FROM_BASERUNNING_AND_PLAY_CONTEXT
SNSR017,岡 大海,千葉ロッテマリーンズ,X_TWITTER,REJECTED_CANDIDATE,@GGST28124937,X post on infield hit,https://x.com/GGST28124937/status/2079428427346854150,2026-07-21,DAY,2026-08-10,ja,2026,same-day game,岡 大海,足があることをアピール,The claim follows a shortstop infield hit and cannot isolate running speed from the play outcome.,home_to_first_outcome,OKA_20260721_INFIELD_HIT,excluded_transition,current,current_2026,false,false,false,REJECTED,HOME_TO_FIRST_OUTCOME_MIXES_TRANSITION_AND_PLAY_CONTEXT
SNSR018,岡 大海,千葉ロッテマリーンズ,X_TWITTER,REJECTED_CANDIDATE,@PacificleagueTV,Pacific League TV official post,https://x.com/PacificleagueTV/status/2025088947349848163,2026-02-21,DAY,2026-08-10,ja,2026,2026 open game,岡 大海,ランニングホームラン,A separate official account documents Oka completing a current full-basepath run; no fine ordinal inference is made.,documented_running_event,OKA_20260221_RUNNING_HOME_RUN,moderate,current,current_2026,false,false,false,REJECTED,RUNNING_HOME_RUN_OUTCOME_CANNOT_ISOLATE_PHYSICAL_SPEED_FROM_FIELDING_AND_BASERUNNING_CONTEXT
SNSR019,藤岡 裕大,千葉ロッテマリーンズ,SPORTS_ARTICLE,REJECTED_CANDIDATE,パ・リーグ.com,2018 player feature,https://pacificleague.com/news/2018/3/2046,2018-03-28,DAY,2026-08-10,ja,2018,student era through 2018,藤岡 裕大,50m 5.9秒、足は持ち味,An eight-year-old self-profile cannot establish current 2026 speed.,historical_profile_measurement,FUJIOKA_20180328_HISTORICAL_PROFILE,historical_only,faster,too_old_for_current_ordinal,false,false,false,REJECTED,HISTORICAL_PROFILE_TOO_OLD_AND_NOT_A_CURRENT_PHYSICAL_SPEED_OBSERVATION
SNSR020,藤岡 裕大,千葉ロッテマリーンズ,X_TWITTER,REJECTED_CANDIDATE,@JIMMY_Marines,Roster discussion post,https://x.com/JIMMY_Marines/status/2078432743890039179,2026-07-18,DAY,2026-08-10,ja,2026,2026 roster discussion,藤岡 裕大,他球団より1年遅い,"The word slow refers to roster timing, not human running speed.",wrong_semantic_subject,FUJIOKA_20260718_ROSTER_DISCUSSION,none,not_directional,current_2026,false,false,false,REJECTED,SLOW_REFERS_TO_ROSTER_TIMING_NOT_PHYSICAL_SPEED
SNSR021,外崎 修汰,埼玉西武ライオンズ,SPORTS_ARTICLE,SUPPLEMENTAL_SPORTS_ARTICLE,スポニチ / 熊代聖人,Coach assessment of present legs and start,https://www.sponichi.co.jp/baseball/news/2026/04/09/articles/20260409s00001000100000c.html,2026-04-09,DAY,2026-08-10,ja,2026,2026 preseason through April,外崎 修汰,脚力は落ちたが、スタートは速い,A current coach describes some age-related decline but still fast starts; this does not resolve an ordinal band without SNS corroboration.,coach_current_physical_speed_comment,TONOSAKI_KUMASHIRO_20260409,moderate_to_strong,mixed,current_2026,true,false,false,ACCEPTED,
SNSR022,外崎 修汰,埼玉西武ライオンズ,X_TWITTER,REJECTED_CANDIDATE,@GYTIq5LUdwGOJiW,General deterioration opinion,https://x.com/GYTIq5LUdwGOJiW/status/2085995636839829939,2026-08-08,DAY,2026-08-10,ja,2026,2026 general performance discussion,外崎 修汰,劣化早い,"The post is a general player-performance opinion, not a running-speed observation.",general_performance_opinion,TONOSAKI_20260808_GENERAL_OPINION,none_for_physical_speed,slower,current_2026,false,false,false,REJECTED,GENERAL_PERFORMANCE_DECLINE_IS_NOT_A_PHYSICAL_SPEED_OBSERVATION
SNSR023,矢野 雅哉,広島東洋カープ,SPORTS_ARTICLE,REJECTED_CANDIDATE,TBS NEWS DIG,Same-event report,https://newsdig.tbs.co.jp/articles/-/1402675?page=2,2024-09-03,DAY,2026-08-10,ja,2024,same 2024-09-01 running event,矢野 雅哉,約14.93秒,A report on the same event is retained but not counted as an independent vote.,same_event_measurement,YANO_20240901_RUNNING_HOME_RUN,not_independent,faster,contemporary_2024,false,false,false,REJECTED,SAME_IDENTIFIED_EVENT_AS_ACCEPTED_SNS_SOURCE
SNSR024,矢野 雅哉,広島東洋カープ,SPORTS_ARTICLE,SUPPLEMENTAL_SPORTS_ARTICLE,東広島デジタル,2025 player profile,https://www.higashihiroshima-digital.com/special-carp-mazdastadium2507/,,MONTH_ONLY_2025-07,2026-08-10,ja,2025,2025 profile,矢野 雅哉,足が速くて肩も強い,"A local 2025 profile describes Yano as fast, without a direct current comparison.",general_contemporary_profile,HIGASHIHIROSHIMA_202507_YANO,weak_to_moderate,faster,contemporary_2025,true,false,false,ACCEPTED,
SNSR025,矢野 雅哉,広島東洋カープ,X_TWITTER,REJECTED_CANDIDATE,@sptvcarp,Sports Live Plus Carp post,https://x.com/sptvcarp/status/1830199838211776831,2024-09-01,DAY,2026-08-10,ja,2024,same-day Yakult game,矢野 雅哉,俊足を飛ばして一気に本塁生還,"The post directly calls Yano's run fast, but it is one 2024 SNS origin only.",qualitative_observation_of_running,YANO_20240901_RUNNING_HOME_RUN,moderate,faster,contemporary_2024,false,false,false,REJECTED,RUNNING_HOME_RUN_DESCRIPTION_CANNOT_ISOLATE_PHYSICAL_SPEED_FROM_BASERUNNING_AND_PLAY_CONTEXT
SNSR026,野間 峻祥,広島東洋カープ,PUBLIC_WEB_POST,REJECTED_CANDIDATE,広島応援団,2026 cheer-song PDF,https://carpclub.net/carp2026.pdf,,YEAR_ONLY_2026,2026-08-10,ja,2026,fixed cheer-song text,野間 峻祥,自慢の俊足,Fixed supporter wording is not an independently observed current speed statement.,fixed_promotional_text,CARP_CHEER_2026_NOMA,very_weak,faster,not_an_observation,false,false,false,REJECTED,FIXED_CHEER_TEXT_NOT_AN_INDEPENDENT_PHYSICAL_SPEED_OBSERVATION
SNSR027,野間 峻祥,広島東洋カープ,X_TWITTER,SNS,@hanasada1997,Yahoo indexed X post,https://search.yahoo.co.jp/realtime/search?btid=MTk0MTc0ODM0OTk2NDU3MTEwNw%3D%3D&ifr=tp_bz&p=%E9%87%8E%E9%96%93%E5%B3%BB%E7%A5%A5&rkf=1,2026-06-16,DAY,2026-08-10,ja,2026,2026 player-type discussion,野間 峻祥,足が速い選手,One publicly indexed X post places Noma among fast players.,indexed_explicit_speed_description,X_HANASADA_20260616_NOMA,weak_to_moderate,current,current_2026,true,false,false,ACCEPTED,
SNSR028,野間 峻祥,広島東洋カープ,SPORTS_ARTICLE,SUPPLEMENTAL_SPORTS_ARTICLE,Baseball Channel,2026 player profile,https://www.baseballchannel.jp/npb/246190/2/,2026-04-30,DAY,2026-08-10,ja,2026,2026 profile,野間 峻祥,俊足,A 2026 profile lists speed as a Noma trait; it is supplemental rather than a second SNS source.,general_current_profile,BASEBALLCHANNEL_20260430_NOMA,weak_to_moderate,current,current_2026,true,false,false,ACCEPTED,
SNSR029,野間 峻祥,広島東洋カープ,SPORTS_ARTICLE,SUPPLEMENTAL_SPORTS_ARTICLE,日刊スポーツ,2025 game report,https://www.nikkansports.com/baseball/news/202505180001057.html,2025-05-18,DAY,2026-08-10,ja,2025,same-day Hiroshima versus Hanshin game,野間 峻祥,俊足の野間,A 2025 report explicitly describes Noma as fast.,explicit_qualitative_speed_description,NIKKAN_20250518_NOMA,moderate,current,current_2025,true,false,false,ACCEPTED,
SNSR030,並木 秀尊,東京ヤクルトスワローズ,X_TWITTER,REJECTED_CANDIDATE,@hisays23,Yahoo indexed X post,https://search.yahoo.co.jp/realtime/search?p=%E5%91%A8%E6%9D%B1,,MONTH_ONLY_2026-05,2026-08-10,ja,2026,2026 season player comparison,並木 秀尊,足が速いだけの選手,A separately authored public X index makes fast running an explicit premise; the source page does not display a day-level post date.,indexed_explicit_speed_description,X_HISAYS23_2026MAY_NAMIKI,weak_to_moderate,current,current_2026,false,true,false,REJECTED,SEARCH_INDEX_WITH_MONTH_ONLY_DATE_CANNOT_RESOLVE_ORIGINAL_POST_CONTEXT_OR_INDEPENDENCE
SNSR031,並木 秀尊,東京ヤクルトスワローズ,SPORTS_ARTICLE,SUPPLEMENTAL_SPORTS_ARTICLE,デイリースポーツ,2026 public sprint event report,https://www.daily.co.jp/baseball/2026/01/02/0019873486.shtml,2026-01-02,DAY,2026-08-10,ja,2026,2026 public sprint event,並木 秀尊,評判通りの快足ぶり,The article reports a strong short-distance running display; no conversion to another distance or rating is performed.,observed_short_distance_speed,DAILY_20260102_NAMIKI_SPRINT,strong_qualitative,current,current_2026,true,false,false,ACCEPTED,
SNSR032,並木 秀尊,東京ヤクルトスワローズ,SPORTS_ARTICLE,SUPPLEMENTAL_SPORTS_ARTICLE,日刊スポーツ,2025 team speed assessment,https://www.nikkansports.com/baseball/news/202511060000706.html,2025-11-06,DAY,2026-08-10,ja,2025,2025 offseason,並木 秀尊,チームNO・1の俊足,The report calls Namiki the team's fastest runner.,explicit_team_speed_assessment,NIKKAN_20251106_NAMIKI,strong,current,current_2025,true,false,false,ACCEPTED,
SNSR033,並木 秀尊,東京ヤクルトスワローズ,X_TWITTER,SNS,@okaokachannel,X post on 2026-05-13 Jingu game,https://x.com/okaokachannel/status/2054604946566520860,2026-05-14,DAY,2026-08-10,ja,2026,2026-05-13 Jingu game,並木 秀尊,足が速い,A spectator's direct post calls Namiki fast after a current game observation.,explicit_qualitative_speed_observation,X_OKAOKA_20260513_NAMIKI,moderate,current,current_2026,true,false,false,ACCEPTED,
SNSR034,並木 秀尊,東京ヤクルトスワローズ,X_TWITTER,REJECTED_CANDIDATE,multiple accounts,Posts reporting stolen-base results,https://x.com/search?q=%E4%B8%A6%E6%9C%A8%20%E7%9B%97%E5%A1%81&src=typed_query,,COLLECTION_QUERY_NOT_A_SINGLE_POST,2026-08-10,ja,2026,2026 individual-game results,並木 秀尊,盗塁成功,"Stolen-base outcomes mix timing, decision, pitcher, catcher, and physical speed.",stolen_base_outcome,NAMIKI_STOLEN_BASE_OUTCOMES_2026,excluded_construct,faster,current_2026,false,false,false,REJECTED,STOLEN_BASE_OUTCOMES_ARE_NOT_ISOLATED_PHYSICAL_SPEED
SNSR035,中村 悠平,東京ヤクルトスワローズ,SPORTS_ARTICLE,REJECTED_CANDIDATE,週刊ベースボール,2019 self-interview,https://column.sp.baseball.findfriends.jp/?id=046-20190429-11&pid=column_detail,2019-04-19,DAY,2026-08-10,ja,2019,student era and 2019,中村 悠平,いまはもう全然,The old self-description cannot establish a 2024-2026 physical-speed ranking.,historical_self_description,BBM_20190419_NAKAMURA,historical_only,slower,too_old_for_current_ordinal,false,false,false,REJECTED,HISTORICAL_SELF_DESCRIPTION_TOO_OLD_FOR_CURRENT_SPEED_TIEBREAK
SNSR036,中村 悠平,東京ヤクルトスワローズ,X_TWITTER,REJECTED_CANDIDATE,multiple accounts,Yahoo real-time summary about catcher defense,https://search.yahoo.co.jp/realtime/search/matome/1b1e5fafe79c44bab00ccb2b8d02e6f8-1784111100?ifr=matome_matometl&rkf=1,2026-07-15,DAY,2026-08-10,ja,2026,same-day game,"opposing runner, not 中村 悠平",俊足ランナー,The speed description is about an opposing runner.,wrong_subject,NAKAMURA_20260715_WRONG_SUBJECT,none,not_directional,current_2026,false,true,false,REJECTED,SPEED_CLAIM_REFERS_TO_AN_OPPOSING_RUNNER_NOT_TARGET_PLAYER
SNSR037,塩見 泰隆,東京ヤクルトスワローズ,PUBLIC_WEB_POST,SNS,まいらいふ(ꇐ₃ꇐ),note post on return,https://note.com/minimum30/n/n07eb95bc5c1f,2026-05-30,DAY,2026-08-10,ja,2026,2026 return context and player profile,塩見 泰隆,足が速い,"One current public post describes Shiomi as fast, but does not independently observe post-return straight-line speed.",general_current_speed_description,NOTE_MYLIFE_20260530_SHIOMI,weak_to_moderate,current,current_2026_but_not_direct_return_measurement,true,false,false,ACCEPTED,
SNSR038,塩見 泰隆,東京ヤクルトスワローズ,X_TWITTER,REJECTED_CANDIDATE,@yk2896,Yahoo indexed opinion on health and performance,https://search.yahoo.co.jp/realtime/search?ei=UTF-8&ifr=tl_unit&p=%E5%A1%A9%E8%A6%8B+%E5%BE%A9%E5%B8%B0&rkf=1,2026-07-16,DAY,2026-08-10,ja,2026,post-return opinion,塩見 泰隆,かつてのような活躍は厳しい,A broad outlook on performance and injury is not a physical-speed observation.,general_performance_prediction,X_SHIOMI_20260716_INJURY_OPINION,none_for_physical_speed,slower,current_2026,false,false,false,REJECTED,INJURY_OR_PERFORMANCE_OUTLOOK_IS_NOT_A_DIRECT_PHYSICAL_SPEED_OBSERVATION
SNSR039,鈴木 大地,東北楽天ゴールデンイーグルス,PUBLIC_WEB_POST,REJECTED_CANDIDATE,パワプロ再現ブログ,Game recreation blog,https://pawapurotan.com/entry/2025/05/31/191500,2025-05-31,DAY,2026-08-10,ja,2025,game recreation,鈴木 大地,足は速くない,A game recreation and result-based discussion is prohibited evidence.,game_recreation,GAME_RECREATION_20250531_SUZUKI,prohibited,slower,prohibited_construct,false,false,false,REJECTED,GAME_RATING_OR_RECREATION_AND_RESULT_METRICS_ARE_PROHIBITED
SNSR040,鈴木 大地,東北楽天ゴールデンイーグルス,X_TWITTER,SNS,@yasuhiro926,Yahoo indexed X player assessment,https://search.yahoo.co.jp/realtime/search?btid=MjA2MTY4MzAxMDYzNDk5Mzk2Mw%3D%3D&ei=UTF-8&fr=rts_ddtw&nobtl=1&p=%E9%88%B4%E6%9C%A8%E5%A4%A7%E5%9C%B0&rkf=2,2026-06-01,DAY,2026-08-10,ja,2026,2026 player assessment,鈴木 大地,足が速いワケでもなく,One public X post explicitly says Suzuki is not fast.,indexed_explicit_speed_description,X_YASUHIRO_20260601_SUZUKI,moderate,slower,current_2026,true,false,false,ACCEPTED,
SNSR041,鈴木 大地,東北楽天ゴールデンイーグルス,SPORTS_ARTICLE,SUPPLEMENTAL_SPORTS_ARTICLE,日刊スポーツ / 鈴木大地,2026 game interview,https://www.nikkansports.com/baseball/news/202606020001640.html?mode=all,2026-06-02,DAY,2026-08-10,ja,2026,same-day game,鈴木 大地,足がもつれちゃった,"Suzuki described a single disrupted run; it is retained as limited contemporary context, not a population-level speed measurement.",single_event_self_description,NIKKAN_20260602_SUZUKI,weak,slower,current_2026_single_event,true,false,false,ACCEPTED,
SNSR042,林 琢真,横浜DeNAベイスターズ,SPORTS_ARTICLE,SUPPLEMENTAL_SPORTS_ARTICLE,デイリースポーツ,2025 player feature,https://www.daily.co.jp/opinion-d/2025/07/15/0019228734.shtml,2025-07-15,DAY,2026-08-10,ja,2025,2025 season,林 琢真,脚力もある、俊足がセールスポイント,A current feature identifies Hayashi's running ability as a selling point but does not create a numerical bridge to NPB+ ordinal.,explicit_qualitative_speed_description,DAILY_20250715_HAYASHI,moderate,current,current_2025,true,false,false,ACCEPTED,
SNSR043,林 琢真,横浜DeNAベイスターズ,SPORTS_ARTICLE,SUPPLEMENTAL_SPORTS_ARTICLE,日刊スポーツ,2022 draft report,https://www.nikkansports.com/baseball/news/202210270001023.html,2022-10-28,DAY,2026-08-10,ja,2022,2022 university measurement context,林 琢真,50メートル5.7秒、測定5.99秒,A historical short-distance record is retained only to show that it uses a different construct from the current NPB+ ordinal; no conversion is made.,historical_measurement_context,NIKKAN_20221028_HAYASHI,strong_historical,mixed,historical_construct_context_2022,true,false,false,ACCEPTED,
SNSR044,林 琢真,横浜DeNAベイスターズ,PUBLIC_WEB_POST,REJECTED_CANDIDATE,RK enterprise,Promotional player recommendation,https://www.rk-enterprise.jp/7071/,2026-01-20,DAY,2026-08-10,ja,2026,2026 promotional context,林 琢真,俊足,A promotional context is not an independent speed observer.,promotional_profile,PROMOTIONAL_20260120_HAYASHI,weak,faster,current_2026,false,false,false,REJECTED,PROMOTIONAL_CONTEXT_NOT_INDEPENDENT
SNSR045,梶原 昂希,横浜DeNAベイスターズ,SPORTS_ARTICLE,REJECTED_CANDIDATE,Yahoo!スポーツナビ,Current player profile,https://baseball.yahoo.co.jp/npb/player/2103703/top,,PAGE_CURRENT_NO_PUBLICATION_DATE,2026-08-10,ja,2026,current profile page,梶原 昂希,スピードが持ち味,An undated current profile is not retained as a dated independent consensus vote.,undated_profile,UNDATED_YAHOO_PROFILE_KAJIHARA,not_date_verifiable,current,date_not_publicly_documented,false,false,false,REJECTED,PUBLICATION_DATE_NOT_DOCUMENTED_FOR_REPRODUCIBLE_CURRENT_CONSENSUS
SNSR046,梶原 昂希,横浜DeNAベイスターズ,SPORTS_ARTICLE,SUPPLEMENTAL_SPORTS_ARTICLE,Baseball King,2024 player profile,https://baseballking.jp/ns/493318/,2024-10-01,DAY,2026-08-10,ja,2024,2024 player profile,梶原 昂希,セールスポイントの足,A 2024 article independently describes running as Kajihara's strength.,general_contemporary_profile,BASEBALLKING_2024_KAJIHARA,weak_to_moderate,current,contemporary_2024,true,false,false,ACCEPTED,
SNSR047,梶原 昂希,横浜DeNAベイスターズ,SPORTS_ARTICLE,SUPPLEMENTAL_SPORTS_ARTICLE,日刊スポーツ,2025 spring feature,https://www.nikkansports.com/baseball/news/202503080001246.html,2025-03-08,DAY,2026-08-10,ja,2025,2025 spring,梶原 昂希,50メートル5.8秒が武器,A contemporary feature reports a short-distance speed strength without converting it to another metric.,reported_short_distance_speed,NIKKAN_20250308_KAJIHARA,moderate,current,current_2025,true,false,false,ACCEPTED,
SNSR048,梶原 昂希,横浜DeNAベイスターズ,YOUTUBE,SNS,テレビ朝日スポーツ,Public YouTube player segment,https://www.youtube.com/watch?v=1aDMqwCR-Jc,2025-03-04,DAY,2026-08-10,ja,2025,2025 player segment,梶原 昂希,自慢の俊足,A public video segment directly identifies Kajihara's speed as a strength.,explicit_video_speed_description,YOUTUBE_20250304_KAJIHARA,moderate,current,current_2025,true,false,false,ACCEPTED,
