queue_order	player	recommendation	confidence	reason_code	rationale_ja
87	佐々木 俊輔	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
88	吉川 尚輝	UNRESOLVED	MEDIUM_HIGH	PHYSICAL_DIMENSIONS_CONFLICT	現在の最高速度と50mは速い一方、通常H2Fは非常に遅い。走りの形が衝突しており80を決められない。
89	大城 卓三	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
90	岸田 行倫	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
91	松本 剛	POWERPRO_PLAUSIBLE	LOW_MEDIUM	PEAK_AND_H2F_NO_MATERIAL_CONTRADICTION	現在の最高速度は中位で、2022年H2Fも平均付近。69とは大きく矛盾しないが確信度は限定的。
92	中野 拓夢	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
93	伏見 寅威	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
94	佐藤 輝明	POWERPRO_PLAUSIBLE	MEDIUM	PEAK_AND_SHORT_DISTANCE_SUPPORT_ABOVE_AVERAGE	現在の最高速度は上位寄りで、30m・50m材料も中位以上。68というやや高めの評価と整合する。
95	坂本 誠志郎	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
96	大山 悠輔	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
97	小幡 竜平	POWERPRO_PLAUSIBLE	MEDIUM	PEAK_AND_SHORT_DISTANCE_SUPPORT_HIGH	現在の最高速度は上位で、30m・50mも中位以上。77と整合する。
98	木浪 聖也	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
99	梅野 隆太郎	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
100	森下 翔太	UNRESOLVED	HIGH	INSUFFICIENT_FULL_CONSTRUCT_PEAK_ONLY	現在の直接的な身体材料が最高速度だけで、加速・H2F・T90・30m・50mがない。S・試合指標・Communityは補助文脈であり、約90ftの総合走力を代替できないため未確定。
