exclusion_id	scope	item	old_reason	verdict	corrected_policy	task_ids	owner_review_block	gate_block	evidence
EX-011	community_physical	generic fast/slow labels	generic・ambiguousで厳密なphysical observationではないため大量棄却	NOT_IDENTIFIABLE_PROVISIONAL_CURRENT_BEHAVIOR	The bounded re-judgment preserves all legacy and additional generic records as contextual data. One attributable extra origin does not change a player automatically. Because frozen active layers have no deterministic bridge for the broader legacy set, a universal rejection-or-rescue rule is not declared.	SP-036,SP-037	1	1	outputs/derived/sp032_grok_x_150_reclassification_20260813.jsonl;outputs/derived/sp036_generic_label_sweep_20260814.json;docs/audits/sp036_039_060_061_062_cleanup_20260814.md;outputs/derived/sp036_generic_label_decision_v2_20260816.json;docs/audits/opus_speed_owner_blockers_wave_20260816.md
EX-012	video	video candidates with transition contamination / no pure current T90	pure full-effort T90でないため17/17 VIDEO_INCONCLUSIVE・usable ordinal 0	VALID_DOWNGRADE_NOT_ZERO	2026-08-14 是正完了。pure T90としては不採用（17/17 INCONCLUSIVE）を維持。既存candidateをcontext/contamination付きのlow-weightレーンとして保持。広い探索は再開しない。 / 2026-08-14 Opus review: 17件の実データに基づく点は確認。ただし保持した low-weight レーンに消費先が無い（src/・configs/ から未参照）。消費先ができるまで判断へは効かない。	SP-039	0	0	outputs/derived/speed_2026_video_tiebreak_results.json;outputs/derived/sp039_existing_video_lane_20260814.json;docs/audits/sp036_039_060_061_062_cleanup_20260814.md
EX-013	pairwise	pairwise faster/slower relations without exact physical corroboration	measurement errorが無い確証を要求した結果CLEARLY_FASTER/SLOWER/SIMILAR_BANDが0	VALID_DOWNGRADE_NOT_ZERO	Directed 2025 proxy comparisons now publish both orientations, derive uncertainty from observed reliability and effective current sample, and return an explicit non-comparable state for absent observations. The artifact is contextual and never supplies a physical teacher or automatic action.	SP-022	1	1	outputs/derived/sp022_pairwise_range_20260814.json;docs/audits/sp063_090_098_043_022_072_074_075_20260814.md;outputs/derived/sp022_pairwise_range_v2_20260816.json;docs/audits/opus_speed_owner_blockers_wave_20260816.md
EX-014	external_game	The Show same-time bridge after temporal-policy failure	The Showのlag/temporal responseがNOT_IDENTIFIABLEだったため利用全体が止まりやすかった	VALID_NUMERIC_EXCLUSION	2026-08-14 オーナー裁定でresolved。★「利用全体の除外」ではない——(a)same-time numeric bridgeはNOT_IDENTIFIABLE(母集団の構造上成立しない。SP-052 DONE_NEGATIVE_FINDING) (b)cross-time numeric bridgeは不採用(SR-060。年度査定のcurrent-year原則とtemporal confounding回避のため)。この2点をもって**数値変換経路としてのThe Showのみ**を閉じる。The Show raw / context evidence自体は保持し、pre-PowerPro期の助っ人に関する文脈材料としては引き続き使える。	SP-052,SP-053	0	0	docs/audits/speed_2026_reopen_comprehensive_gap_audit_20260811.md;docs/audits/sp052_the_show_to_powerpro_mapping_20260813.md;docs/audits/owner_policy_ruling_20260814.md
EX-015	speed_acceleration	all acceleration after strict current residual prior found ready_players=0	strict direct-current acceleration evidenceが無いのでalpha=0	VALID_EXCLUSION	SP-007是正(2026-08-13)完了: strict prior alpha=0のnegative finding自体はEX-015の指摘どおり保持する(妥当)。同時にH2F低信頼度レーン(EX-003是正)を新設・配線し、strict findingが他レーンを無効化していないことを実装で確認した。scope overreachは解消。	SP-007	0	0	configs/speed_acceleration_prior.json;docs/audits/speed_2026_reopen_comprehensive_gap_audit_20260811.md;docs/audits/sp007_h2f_low_confidence_lane_20260813.md
EX-016	scouting	official/public scouting speed evidence	主観・形式不統一・coverage不足でproduction最終点へほぼ未接続	VALID_DOWNGRADE_NOT_ZERO	2026-08-14 棚卸し完了。走力scoutingは1件（鈴木誠也）。identity/source/date/basisを保存。教師にしない。欠けは欠けとして記録。 / 2026-08-14 Opus review: 実データ1件という母数を数えた上での downgrade として妥当と確認。ただし母数1のため、これ以降の走力判断への寄与は事実上ない。	SP-060	0	0	configs/scouting.json;outputs/derived/sp060_scouting_inventory_20260814.json;docs/audits/sp036_039_060_061_062_cleanup_20260814.md
EX-017	usage	pinch-runner usage	監督判断・役割・試合状況が混ざるため主経路から外した	REASSESS_REQUIRED	2026-08-14 Opus review で再open。代走5件という母数が、キー名不一致で第2ソース（代走17件を含む785KB）を0件マッチのまま出した結果。母数が確定してから再判定する。 ｜前回の記述: 2026-08-14 評価完了。代走言及5件は監督判断・役割・故障が混ざる。弱い文脈として保持し教師にしない。	SP-061	1	1	outputs/derived/sp061_pinch_runner_weak_context_20260814.json;docs/audits/sp036_039_060_061_062_cleanup_20260814.md
EX-018	defense_context	defensive straight-line chase speed	route/reaction/positioningが混ざるため未利用	REASSESS_REQUIRED	2026-08-14 Opus review で再open。唯一のJSON証拠 sp062_defensive_chase_close_20260814.json が0レコードの文字列リテラルのみで、DBもderivedも一度も参照していない。「探して分離できなかった」ではなく「探していない」。 ｜前回の記述: 2026-08-14 閉じる。既存ソースはroute/reaction/positioningが混ざり直線追走を分離できない。判断に使えない。	SP-062	1	1	outputs/derived/sp062_defensive_chase_close_20260814.json;docs/audits/sp036_039_060_061_062_cleanup_20260814.md
EX-019	speed_direct	steals / steal success as direct speed	盗塁技術・リード・投手/捕手影響が大きい	VALID_EXCLUSION_FROM_DIRECT_SPEED	基礎走力へ生値を直接入れない。盗塁得能側または交絡調整後の補助証拠に限定する		0	0	CLAUDE.md
EX-020	speed_transform	proportional 30m/50m -> T90 conversion	加速区間があるため距離比例は物理的に不適切	VALID_TRANSFORMATION_EXCLUSION	比例T90変換はしない。ただし30m/50m実測自体はEX-001のとおりrange evidenceとして保持する		0	0	docs/audits/speed_2026_reopen_comprehensive_gap_audit_20260811.md
EX-021	temporal	physical measurement >=3 years away treated as same-year direct	加齢・故障変化を無視すると誤る	VALID_DOWNGRADE_NOT_ZERO	同年度direct扱いを禁止するのは妥当。古い測定自体はhistorical/scouting evidenceとして残し、temporal carryoverを別途評価する	SP-020,SP-041,SP-042	0	1	configs/ratings.json
EX-022	provenance	identical profile transcriptions / same measurement repeated by multiple pages	同一測定の転載を独立証拠として数えない	VALID_DEDUP	同一measurement_clusterへまとめ、origin countを水増ししない		0	0	data/manual/npb_speed_physical_evidence_full_20260809.json
EX-023	community	same-event repeated reactions	同じ投稿/動画への多数コメントを独立観察として数えない	VALID_DEDUP	independence_groupは1 originにまとめ、reaction volumeを別フィールドに保存する	SP-037	0	1	docs/tasks/CODEX_SPEED_COMMUNITY_RATING_RESCUE_20260813.md
EX-024	external_reference	Gold Glove award as numeric ability input	知名度・打撃印象・記者固定観念が混ざる	VALID_EXCLUSION	能力点の入力には使わない。紹介・contextに留める		0	0	CLAUDE.md
EX-025	provenance	search-result snippet without verified source body	本文・identity・測定条件を確認できない	VALID_NUMERIC_EXCLUSION	SP-017是正(2026-08-13)で確認: REJECTED_TIER_C_FULL_TABLE_NOT_INDEPENDENTLY_VERIFIED(25件)は既にraw ledgerへ削除されず保持・rejection_reason記録済みで、numeric evidenceとしては未使用。是正方針(source follow-up候補として残す)を現行データ構造が既に満たしており追加変更は不要と確認。	SP-017	0	1	data/manual/npb_speed_physical_evidence_full_20260809.json;docs/audits/sp017_physical_measurement_range_reclassification_20260813.md
