event_id	event_date_start	event_date_end	retrieved_at	region	country	league	organization	competition	topic_family	subtopic	headline_or_event_name	fact_summary	primary_source_url	secondary_source_urls	source_authority	verification_status	historical_or_current	mechanism_revealed	potential_game_system	existing_requirement_ids	novelty_status	materiality	recurrence_class	player_frustration_risk	suggested_default_or_toggle	implementation_complexity	research_confidence	notes
PNN-016	1994-08-11	1994-09-14	2026-08-24	North America	United States/Canada	MLB	MLB; MLBPA	Work stoppage	Labor and history	1994 strike cancels postseason	The 1994 work stoppage ended the season and canceled the postseason after 948 games had been missed	MLB historical material records the canceled postseason and wider competitive/financial effects.	https://www.mlb.com/postseason/history/1994	https://www.mlb.com/amp/news/timeline-of-recent-cba-negotiations	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Labor conflict can change the calendar, records, revenue, and legacy layer all at once.	labor stoppage/calendar/records/legacy	PW-121;PW-122;PW-181;PW-213;PW-214;PW-216	ALREADY_COVERED	HIGH	RARE_SYSTEMIC	HIGH_IF_AUTOMATIC	DEFAULT_RARE	HIGH	HIGH	Explicit third-pass OPEN-13 is not new.
PNN-017	2015-01-01	2015-12-31	2026-08-24	North America	United States/Canada	MLB	MLB; Statcast	Tracking technology	Information and development	Statcast installed across MLB parks	MLB describes Statcast rollout and its expansion of tracked movement, speed, and batted-ball information	Statcast became a league-wide measurement layer, changing scouting, broadcast, and development feedback.	https://www.mlb.com/glossary/statcast	https://www.mlb.com/news/major-league-baseballs-statcast-glossary-of-terms-of-state-of-the-art-tracking-technology/c-150784778	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	A measurement layer can alter knowledge asymmetry and development without changing the rules.	scouting fog/data capital/player development	PW-145;PW-153;PW-154;PW-155;PW-157;PW-158	PARTIAL_EXTENSION	HIGH	RECURRING	MEDIUM	TOGGLE	HIGH	HIGH	Supports OPEN-15/18; no vendor mechanics inferred.
PNN-018	2020-01-01	2023-12-31	2026-08-24	North America	United States/Canada	MLB	MLB; Hawk-Eye	Tracking technology	Bat and pitch measurement	Feedback-loop expansion	Hawk-Eye and bat tracking expand the tracked skill set	MLB technology material describes Hawk-Eye adoption and later bat-tracking expansion, widening the feedback loop from pitch movement to swing decisions.	https://www.mlb.com/glossary/statcast	https://www.mlb.com/news/10-tech-advances-that-changed-how-we-watch-sports/c-119198466	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	New measurements can create new training priorities and repriced skill profiles.	technology adoption/skill repricing/staff knowledge	PW-145;PW-154;PW-155;PW-158	PARTIAL_EXTENSION	HIGH	RECURRING	MEDIUM	TOGGLE	HIGH	MEDIUM	Event date is a bounded technology-adoption band.
PNN-019	2023-01-01	2024-12-31	2026-08-24	North America	United States/Canada	MLB/MiLB	MLB; umpires	ABS testing	Officiating and rules	Automated ball-strike testing in the minors	MLB’s rule-change and minor-league material describes ABS testing and comparison of challenge/full-use formats	The lower-tier test environment allows rule and human-judgment tradeoffs to be observed before a league-wide choice.	https://www.mlb.com/rule-changes-2023/	https://www.mlb.com/press-release/press-release-mlb-announces-rule-changes-for-2023-season	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Rule adoption can be staged, compared, and contested rather than switched on universally.	abs/challenge mode/umpire labor	PW-190;PW-192;PW-193;PW-205	PARTIAL_EXTENSION	HIGH	CONDITIONAL_RECURRING	MEDIUM	TOGGLE	HIGH	HIGH	Supports OPEN-18.
PNN-020	2026-01-01	2026-12-31	2026-08-24	North America	United States/Canada	MLB	MLB; MLBPA; umpires	ABS transition	Officiating and rules	Current ABS implementation context	Current MLB season reporting and rules material place ABS within an active transition where scope, challenge, and human-official roles matter	The event is recorded as a current design context, not as a settled timeless rule.	https://www.mlb.com/rule-changes-2023/	https://www.mlbplayers.com/resources/major-league-cba	PRIMARY_PLUS_SECONDARY	CURRENT_STATUS_CHECK	CURRENT_AS_OF_2026	A live rule transition can create era-specific strategy and labor calibration.	abs transition/era rules/officials	PW-190;PW-192;PW-193;PW-205	PARTIAL_EXTENSION	HIGH	CONDITIONAL_RECURRING	HIGH_IF_AUTOMATIC	OWNER_CALIBRATION	HIGH	MEDIUM	Current-state facts must be reverified before implementation.
PNN-021	2023-07-12	2023-07-12	2026-08-24	East Asia	South Korea	KBO	KBO	2nd Draft	Transactions	Protected-player redistribution	KBO revives the 2nd Draft after Future FA failed to create enough movement	The KBO notice describes the return of the 2nd Draft, protected-player limits, reverse-order rounds, compensation fees, and first-team registration conditions.	https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=8750	https://www.koreabaseball.com/MediaNews/Notice/View.aspx?bdSe=9894	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	A league can revise a mobility mechanism after observing that a prior mechanism produced too little movement.	active draft/second draft/protection/compensation	PW-236;PW-237;PW-238;PW-239;PW-240	ALREADY_COVERED	HIGH	CONDITIONAL_RECURRING	MEDIUM	DEFAULT_RARE	HIGH	HIGH	A strong known-domain comparator, not a new candidate.
PNN-022	2013-05-07	2015-01-01	2026-08-24	East Asia	South Korea	KBO	NC Dinos; KT Wiz; KBO	Expansion	Governance and market	League adds NC and KT	KBO approved NC as the 9th club and KT as the 10th, with different founding and first-team timelines	Expansion creates new roster demand, farm structures, facilities, and regional identity rather than merely adding a buff to an existing club.	https://en.yna.co.kr/view/AEN20130507003400315	https://eng.koreabaseball.com/Teams/TeamInformation.aspx;https://www.ktwiz.co.kr/ktwiz/history	PRIMARY_PLUS_SECONDARY	VERIFIED	HISTORICAL	Expansion changes league topology, player demand, and local-market development capacity.	league expansion/roster demand/farm/stadium	PW-165;PW-179;PW-180;PW-247;PW-248	ALREADY_COVERED	HIGH	RARE_SYSTEMIC	MEDIUM	OWNER_CALIBRATION	HIGH	HIGH	Do not encode new clubs as permanent strength advantages.
PNN-023	2024-01-01	2026-12-31	2026-08-24	East Asia	South Korea	KBO	Sangmu; KBO Futures	Military service	Career interruption	Sangmu and Futures route	Players use the military Sangmu/Futures route and return to professional baseball	Korean reporting describes a player returning after military service and playing in the Futures League, showing service as an interruption plus development route.	https://www.koreajoongangdaily.com/sports/ssg-landers-infielder-jeon-euisan-returns-from-military-service-with-a-new-mindset/12756821	https://www.yna.co.kr/view/AKR20191202105200007	SECONDARY_WITH_OFFICIAL_CONTEXT	SECONDARY_CONFIRMED	CURRENT	A state-imposed career clock can interrupt, develop, and reprice a player’s path.	mandatory service/Futures/development/career clock	PW-074;PW-149;PW-168;PW-171;PW-242	PARTIAL_EXTENSION	HIGH	RECURRING	HIGH_IF_AUTOMATIC	TOGGLE	HIGH	MEDIUM	Open-09/17 overlap; no country-specific legal rule is proposed.
PNN-024	2026-01-01	2026-12-31	2026-08-24	East Asia	Taiwan	CPBL	CPBL	Roster rules	Foreign-player market	Foreign-player registration and active limits	CPBL structure material describes registered and active foreign-player limits and a seasonal registration deadline	Roster slots and deadlines create a scarce foreign-player market with replacement and adaptation decisions.	https://www.cpbl.com.tw/about/structure	https://cpbl.com.tw/theme/client/download/聯盟規章.pdf	PRIMARY_OFFICIAL	CURRENT_STATUS_CHECK	CURRENT_AS_OF_2026	Foreign-player slots are a bounded resource whose value changes with injuries, performance, and calendar deadlines.	foreign roster/registration/deadline	PW-168;PW-172;PW-256	PARTIAL_EXTENSION	HIGH	RECURRING	HIGH_IF_AUTOMATIC	OWNER_CALIBRATION	MEDIUM	HIGH	Season-specific numbers require revalidation.
PNN-025	2026-01-01	2026-12-31	2026-08-24	East Asia	Taiwan	CPBL	CPBL	Draft	Amateur eligibility	Military timing and domestic-player eligibility	CPBL draft registration material links eligibility to military timing and schooling/residence conditions	Formal entry classification can change who counts as domestic and when a player is eligible to enter.	https://record.cpbl.com.tw/CPBL_Register/SignUpDefault.aspx	https://www.cpbl.com.tw/about/structure	PRIMARY_OFFICIAL	CURRENT_STATUS_CHECK	CURRENT_AS_OF_2026	Eligibility categories create non-obvious entry gates for international and domestic talent.	draft eligibility/foreign status/amateur route	PW-055;PW-168;PW-172;PW-256	PARTIAL_EXTENSION	MEDIUM	RECURRING	HIGH_IF_AUTOMATIC	OWNER_CALIBRATION	HIGH	MEDIUM	This is a rule input, not a recommendation to reproduce local law.
PNN-026	2024-01-01	2024-12-31	2026-08-24	East Asia	Taiwan	CPBL	CPBL	Roster ruling	Foreign-player market	Foreign-player status exception	CPBL publishes a case where a foreign player’s status changed under an eligibility exception	A formal status ruling can alter whether a player consumes a foreign-player slot, changing club roster options.	https://cpbl.com.tw/news/cont?sid=0O304543053163371193	https://www.cpbl.com.tw/about/structure	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Eligibility rulings can reprice a roster slot for one player without changing the whole league rule.	status ruling/roster slot/precedent	PW-168;PW-172;PW-256	PARTIAL_EXTENSION	MEDIUM	RARE_SYSTEMIC	HIGH_IF_AUTOMATIC	OWNER_CALIBRATION	MEDIUM	HIGH	Keep as an edge-case design challenge, not a universal exception.
PNN-027	2018-12-19	2018-12-19	2026-08-24	Caribbean	Cuba	MLB/Cuban Federation	MLB; FCB	Player agreement	International access	Legal player pathway agreement	MLB announced an agreement intended to let Cuban players sign through a formal release and contract pathway	The agreement described a safer, legal route with federation release, contract, visas, and family/return provisions.	https://www.mlb.com/news/mlb-announces-deal-with-cuban-federation-c302036110	https://www.mlb.com/es/news/terminos-clave-del-nuevo-acuerdo-entre-mlb-y-la-federacion-cubana-c302037998	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Player access can be governed by a cross-institution agreement rather than club choice alone.	international agreement/player pathway/visa	PW-168;PW-169;PW-171;PW-172;PW-173	PARTIAL_EXTENSION	HIGH	CONDITIONAL_RECURRING	HIGH_IF_AUTOMATIC	OWNER_CALIBRATION	HIGH	HIGH	No personal political inference.
PNN-028	2019-04-09	2019-04-09	2026-08-24	Caribbean	Cuba/United States	MLB/Cuban Federation	MLB; FCB	Player agreement	International access	Agreement reversal	The 2018 Cuba pathway was later canceled by the US administration	Secondary reporting describes the institutional reversal, demonstrating that an opened player route can close before becoming stable.	https://www.axios.com/2019/04/09/mlb-cuba-trump-administration-trafficking	https://www.mlb.com/news/mlb-announces-deal-with-cuban-federation-c302036110	SECONDARY_WITH_PRIMARY_CONTEXT	SECONDARY_CONFIRMED	HISTORICAL	External policy can reverse a player-access route and strand planning assumptions.	institutional gate reversal/player market	PW-168;PW-169;PW-172;PW-173	PARTIAL_EXTENSION	HIGH	RARE_SYSTEMIC	HIGH_IF_AUTOMATIC	TOGGLE	HIGH	MEDIUM	Use as an uncertainty mechanism, not as a political event simulator.
PNN-029	2019-01-01	2026-12-31	2026-08-24	Caribbean	Dominican Republic	MLB	MLB; 30 clubs; academies	Amateur scouting	Development	Shared academy and scouting infrastructure	MLB describes trainer-partnership and amateur scouting structures in the Dominican Republic, including shared league-wide processes	International amateur discovery can be mediated by academies, trainers, age rules, and common scouting infrastructure.	https://www.mlb.com/trainer-partnership/dominican-republic	https://www.mlb.com/amp/news/mlb-amateur-scouting-league-faq.html	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	CURRENT	A regional development ecosystem can lower discovery friction while increasing competition for early talent.	academy/scouting/age eligibility/global pipeline	PW-145;PW-153;PW-168;PW-171;PW-179	PARTIAL_EXTENSION	HIGH	RECURRING	HIGH_IF_AUTOMATIC	TOGGLE	HIGH	HIGH	Current process details require periodic recheck.
PNN-030	2018-03-01	2018-03-01	2026-08-24	Latin America	Mexico	MLB/LMB	MLB; Mexican League	Transfer agreement	Transactions	Qualified Mexican League player transfer	MLB and the Mexican League announced a player-transfer agreement with age and professional-service conditions	A league-to-league agreement can provide a defined route for qualified players to sign in MLB.	https://www.mlb.com/press-release/mlb-mexican-baseball-league-agree-on-player-transfers	https://lmb.com.mx/noticias/cambios-en-reglas-para-la-temporada-2024	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Cross-league eligibility can be formalized with thresholds rather than ad hoc negotiation.	transfer agreement/eligibility/service time	PW-168;PW-169;PW-171;PW-172	ALREADY_COVERED	MEDIUM	CONDITIONAL_RECURRING	MEDIUM	TOGGLE	MEDIUM	HIGH	Known international-market domain.
PNN-031	2024-01-01	2024-12-31	2026-08-24	Latin America	Mexico	LMB	Mexican League	Rule changes	League governance	2024 LMB rule changes	The Mexican League published rule changes affecting competition and roster/game operations	League rule adjustments can be tested or adopted locally without being identical to MLB or NPB.	https://lmb.com.mx/noticias/cambios-en-reglas-para-la-temporada-2024	https://www.milb.com/news/lmb-cambios-en-reglas-para-la-temporada-2024	PRIMARY_PLUS_SECONDARY	VERIFIED	HISTORICAL	Multiple leagues can diverge in rule timing, producing different player incentives and statistics.	league rule variation/era comparison	PW-190;PW-191;PW-193;PW-213	PARTIAL_EXTENSION	MEDIUM	RECURRING	MEDIUM	TOGGLE	MEDIUM	MEDIUM	Specific changes are not generalized beyond the documented rule family.
PNN-032	2024-01-01	2024-02-01	2026-08-24	Caribbean	Cuba	Independent tournament	FEPCUBE	International competition	Governance	Independent Cuban team tournament canceled	AP reported that a proposed independent Cuban team tournament was canceled after pressure and logistical controversy	The case is retained as a low-confidence example of a contested route outside the established federation system.	https://apnews.com/article/ecd17ce8baccdcf6efbc5d080c7af6ff	-	SECONDARY_ONLY	INSUFFICIENT_EVIDENCE	HISTORICAL	An alternative competition route can fail before it becomes a stable player pathway.	independent competition/access gate	PW-168;PW-181;PW-182	INSUFFICIENT_EVIDENCE	LOW	RARE_SYSTEMIC	HIGH_IF_AUTOMATIC	EVIDENCE_ONLY	MEDIUM	LOW	Not used for a candidate; retain only as a bounded blind spot.
PNN-033	2024-01-01	2024-12-31	2026-08-24	Europe	Europe	WBSC Europe	WBSC Europe	Champions League Europe	Competition structure	Promotion and relegation	WBSC Europe competition documents connect Champions League Europe with lower cups and movement	The competition structure creates a tiered path with promotion/relegation rather than a closed single league.	https://static.wbsc.org/uploads/federations/278/cms/documents/30474e8e-3ac7-f1d6-ee6a-08065ba10eeb.pdf	https://static.wbsc.org/uploads/federations/0/cms/documents/80d35403-60ff-f021-4f4a-3e61cabf4dbd.pdf	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	International club competition can use tier movement to build a regional ecosystem.	promotion/relegation/international club market	PW-179;PW-180;PW-181	PARTIAL_EXTENSION	MEDIUM	RECURRING	MEDIUM	TOGGLE	HIGH	HIGH	Specific European structure is evidence for an abstract tier mechanism.
PNN-034	2024-01-01	2024-12-31	2026-08-24	Africa	Africa	WBSC	WBSC; African federations	Development program	Global development	Targeted development funding	WBSC’s development report describes funding and support for African qualifiers and competitions	Regional support can change the feasibility of competition and player development before a mature professional market exists.	https://static.wbsc.org/uploads/federations/0/cms/documents/80d35403-60ff-f021-4f4a-3e61cabf4dbd.pdf	https://static.wbsc.org/uploads/federations/282/cms/documents/b12a4a98-73b9-9f27-689f-ab029d1e2ef1.pdf	PRIMARY_OFFICIAL	VERIFIED_PRIMARY	HISTORICAL	Development funding is an external input that can create or sustain a regional baseball pipeline.	development funding/global pipeline	PW-179;PW-180;PW-185	PARTIAL_EXTENSION	MEDIUM	CONDITIONAL_RECURRING	LOW	OWNER_CALIBRATION	MEDIUM	HIGH	No national quality ranking inferred.
