dimension	user_question	PowerPro	Prospi	MLB_The_Show	cross_game_signal	pw_mapping	open_domains	cross_game_read	evidence_ids	confidence
rules_customization	規則・編集・拡張をどこまでプレイヤーが触るか	DH設定・現役ドラフト方式の断片	代表・国際大会の断片	拡張・再編・カスタムリーグ・ルール要望	REQUEST	PW-187-PW-204;PW-258	OD-10;OD-14;OD-20	無制限エディタではなく、世界の制度が時間で変化する境界を設計する必要	E001;E026;E030;E042;E052;E083-E085;E095	MEDIUM
awards_history	記録・称号・殿堂は何を残すか	歴史的公式資料と現行感想の薄さ	年次記録・タイトル・殿堂	HOF・永久欠番・歴史のwishlist	PRAISE+REQUEST	PW-187-PW-221	OD-12	長期の成果を、単なるランキングでなく球団・リーグ史に残す方向は共通	E036-E040;E044-E045;E083;E095	MEDIUM
finance_market	資金・市場・球団規模はどう効くか	資金不足でドラフト/補強が止まる疑い	年俸・予算の公式文脈	市場規模・市場全体・買い手売り手の公式説明	COMPLAINT+OBSERVATION	PW-141-PW-159;PW-247-PW-249	OD-13	お金で勝つ/止まるの二択ではなく、資源と期待・組織改革を結ぶ必要	E010;E013;E022;E024;E039-E040;E067	MEDIUM
staff_scouting	スタッフ・スカウト・分析が判断をどう変えるか	CPU練習・OBコーチ・捕手評価への要望	2軍・代表・候補評価要望	ドラフト/スカウト・ロースターAIの専門議論	REQUEST	PW-053-PW-087;PW-116-PW-123	OD-01;OD-16	情報精度を能力バフではなく、推定・選択・誤りの差として返す必要	E005;E016;E027-E028;E042;E071;E085-E086	MEDIUM
ui_delegation	深い内部をどの程度の操作で扱うか	二度押し、完全委任、理由表示要望	隣接モードのオート停止/検索、classic不整合	Streamlined/Quick Manage、UI遅延・保存不満	REQUEST+COMPLAINT	PW-001;PW-004;PW-006;PW-010-PW-014	OD-16	委任と情報表示は対立せず、局面別の自動化と短い理由表示が必要	E003;E005;E017;E023;E029;E033;E056-E058;E068-E070;E092-E094	HIGH
sim_tempo	長期世界の進行速度とテンポ	候補閲覧・調整確認・無駄球の負荷	adjacentの周回時間、classicの不整合	短時間進行、メニュー遅延、オートセーブ	COMPLAINT	PW-001;PW-010-PW-014;PW-222-PW-229	OD-16	時間を消費する操作と、物語に意味を残す演出を分ける必要	E003;E017;E029;E031-E032;E056-E058;E075;E092-E093	HIGH
save_reliability	長期セーブを失わず再開できるか	10年目エラー、成績不整合、候補体型バグ	大会・疲労・進行・メニュー不具合	オートセーブ不足、UI/通信・保存喪失	COMPLAINT	PW-204-PW-212;PW-222-PW-229	OD-10;OD-16	深いシミュレーションの価値は、再現・履歴・復旧がないと成立しない	E009;E015;E035;E050-E055;E061-E062;E092-E094	HIGH
replayability_anti_snowball	無双・停滞・崩壊をどう防ぐか	現役ドラフト、資金、外国人、長期物語	意外な成功と停止疑い	リーグ漂流、プロスペクト固定、回帰・拡張要望	MIXED_CONTESTED	PW-088-PW-094;PW-174-PW-186;PW-246-PW-250;PW-260	OD-13;OD-15	アンチスノーボールは補正でなく、組織・情報・資源・制度の自然な帰結であるべき	E002;E007-E008;E024-E026;E041;E044;E059;E076;E082-E085;E090-E091	HIGH
keep_signals	何を足さずに守るべきか	長期運用、現役ドラフト、新人、意外な物語	記録・殿堂・CPU物語	市場の理由表示、委任切替、フロント運用	PRAISE	PW-001-PW-004;PW-010-PW-014;PW-187-PW-221	—	共通するKeepは、機能数でなく長期結果の意味と短い操作である	E001-E002;E008;E036;E039-E045;E066-E070	MEDIUM
contradictions	同じ失敗を反対方向から訴えるか	移籍が多すぎ/少なすぎ、資金難の現実/停止	CPU停止/意外な成功、期限/物語	トレード過剰/硬直、リアル/遊びやすさ	MIXED_CONTESTED	PW-003-PW-009;PW-124-PW-140;PW-236	OD-01;OD-15;OD-16	数字を平均化せず、球団・設定・年数・観測情報の違いを保存する必要	E004;E006;E024-E026;E041;E044;E076;E080-E082;E098	HIGH
coverage_gap	どのテーマは証拠が薄いか	F,G,K,Mが薄い	G,H,O,Nが薄い。隣接UIは厚い	G,J,M,Nが薄い。B,E,P,Q,Rは厚い	INSUFFICIENT_EVIDENCE	—	OD-01;OD-04;OD-07;OD-10;OD-12;OD-13;OD-14;OD-15;OD-16;OD-17;OD-20	次波では未収集領域を埋めるまで仕様確定しない	E011;E042;E053;E071;E083-E085	HIGH
